File name	License	Author / Source	Original File URL	Modifications
bg_brazil_01.jpg	Attribution 2.0 Generic (CC BY 2.0)		https://www.flickr.com/photos/demiam/13071505525/	
bg_china_01.jpg	CC2.0	Toon Bronselaer	https://www.flickr.com/photos/t00n/5213857763/	color adjustments, gradient overlays
bg_china_02.jpg	CC2.0	Jannes Glas	https://www.flickr.com/photos/januski83/24638276270/	slight color adjustment
bg_china_03.jpg	CC0 Public Domain		https://pixabay.com/en/sunset-china-pagoda-lotus-flowers-952629/	
bg_china_04.jpg	CC2.0	George Lu	https://www.flickr.com/photos/gzlu/7708851288/	slight color adjustment
bg_china_05.jpg	CC2.0	Dai Luo	https://www.flickr.com/photos/dailuo/5438987806/	
bg_global_01.jpg	Attribution 2.0 Generic (CC BY 2.0)		https://www.flickr.com/photos/tshermankb/8410529726/	
bg_global_02.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://pixabay.com/en/landscape-nature-beautiful-sunlight-821492/	cut
bg_global_05.jpg	Public Domain Dedication (CC0 1.0 Universal)		http://unsplash.com/	
bg_global_06.jpg	Public Domain Dedication (CC0 1.0 Universal)		http://unsplash.com/	
bg_global_09.jpg	Public Domain Dedication (CC0 1.0 Universal)		http://unsplash.com/	
bg_guatemala_03.jpg	Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)		http://commons.wikimedia.org/wiki/File:Lake_Atitl%C3%A1n.jpg	
bg_guatemala_05.jpg	Attribution-NoDerivs 2.0 Generic (CC BY-ND 2.0)		https://www.flickr.com/photos/aisforangie/6798673462/	
bg_guatemala_06.jpg	Attribution-NoDerivs 2.0 Generic (CC BY-ND 2.0)		https://www.flickr.com/photos/-nach-/5072555571/	
bg_guatemala_07.jpg	Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0)		https://www.flickr.com/photos/didierbaertschiger/4470207135/	
bg_india_01.jpg	CC0 Public Domain		https://pixabay.com/en/girls-colourful-shawl-india-585077/	clone stamp to remove blemish
bg_india_02.jpg	CC0 Public Domain		https://pixabay.com/en/temple-rishikesh-india-hindu-holy-1166023/	
bg_indonesia_01.jpg	CC2.0	Rosino	https://www.flickr.com/photos/rosino/1393826530/	
bg_kenya_01.jpg	CC2.0	Ninara	https://www.flickr.com/photos/ninara/17411565944/	
bg_pakistan_01.jpg	CC0 Public Domain		https://pixabay.com/en/fort-lahore-pakistan-architecture-824774/	
bg_rwanda_01.jpg	CC2.0	misssharongray	https://www.flickr.com/photos/sharongray/6732561951/	
bg_tanzania_01.jpg	CC2.0	Yoni Lerner	https://www.flickr.com/photos/yeho/8209613841/	
bg_thailand_01.jpg	CC0 Public Domain	Jonny Clow	https://unsplash.com/photos/bl5T3frR9pc	
Blue Lake.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/photos/16BJBiCIAic	cut
Blue Night.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/photos/veMLshzPEq0	cut
Bright Valley.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://pixabay.com/en/landscape-scotland-isle-of-skye-540115/	cut
Calm Waters.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://pixabay.com/en/ocean-calm-peace-peaceful-summer-1093382/	cut
Colour Tiles.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/@aridley88?photo=jR4Zf-riEjI	cut
Curious Bird.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/@rayhennessy?photo=PBjvkCDr3aQ	cut
Frosted Grass.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://pixabay.com/en/frost-on-grass-early-morning-frost-1358926/	cut
Grasshopper.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/collections/135659/animals?photo=uzYgVGz0t1Q	cut
Humming Bird.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/photos/QifvZqd5akk	cut
Little Crab.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/photos/2_vQY1_DzuE	cut
Lost Shell.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://imagefinder.co/photo/26812/	cut
Pine Macro.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/search/photos/Manchester?photo=tvk4EKq9m_w	cut
Rose Petals.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/collections/17098/floral-beauty?photo=2jZoHa8Q7Fo	cut
Sand Desert.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/collections/997?photo=JXANugsHjCg	cut
Sleepy Dog.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://unsplash.com/@agmakonts?photo=JCXANpeR2XI	cut
Solitary Island.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://imagefinder.co/photo/cape-tribulation-road-cape-tribulation-australia/	cut
Sunset Hills.jpg	Public Domain Dedication (CC0 1.0 Universal)		https://pixabay.com/en/remote-landscape-travel-mountain-1209780/	cut
unsplash_522af94630a3d_1.jpg	Public Domain (GNU Free Documentation License, V1.3)		http://unsplash.com/	
unsplash_522b53fb137bb_1.jpg	Public Domain (GNU Free Documentation License, V1.3)		http://unsplash.com/	
